,motherBoard,MRP
121,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
122,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
123,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
124,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
125,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
126,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
127,Ant Value G41MAD3 Motherboard,"₹2,161"
128,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
129,ASUS PRIME A320M-K Motherboard,"₹5,999"
130,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
131,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
132,ZEBRONICS H61 Motherboard,"₹2,104"
133,ASRock B550M Pro4 Motherboard,"₹9,389"
134,GIGABYTE A520M K Motherboard,"₹5,899"
135,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
136,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
137,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
138,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
139,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
140,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
141,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
142,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
143,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
144,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
145,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
146,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
147,LAPCARE h81 Motherboard,"₹3,299"
148,ASRock B560 Steel Legend Motherboard,"₹11,720"
149,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
150,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
151,ASRock B550 PG Riptide Motherboard,"₹12,179"
152,ASRock Z690 Pro RS Motherboard,"₹17,999"
153,ASUS Prime Z690-A Motherboard,"₹29,950"
154,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
155,MSI PRO H410M-B Motherboard,"₹6,999"
156,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
157,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
158,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
159,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
160,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
161,ASUS Prime B550M-K Motherboard,"₹10,384"
162,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
163,GIGABYTE B650M K Motherboard,"₹14,500"
164,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
165,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
166,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
167,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
168,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
169,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
170,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
171,GEONIX Geonix_H61 Motherboard,"₹1,790"
172,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
173,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
174,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
175,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
176,Frontech G41/775 DDR2 Motherboard,"₹1,974"
177,Matrix MXH81 Motherboard,"₹2,591"
178,Ant Value H110MAD4 Motherboard,"₹4,256"
179,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
180,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
181,GIGABYTE B450-S2H Motherboard,"₹6,749"
182,ASRock B560 Pro4 Motherboard,"₹9,299"
183,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
184,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
185,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
186,ASRock B550 Taichi Motherboard,"₹23,449"
187,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
188,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
189,ASUS Prime H510M-E Motherboard,"₹7,499"
190,ASRock B660 Pro RS Motherboard,"₹11,499"
191,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
192,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
193,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
194,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
195,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
196,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
197,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
198,MSI Z590 UNIFY Motherboard,"₹28,844"
199,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
200,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
201,MSI B560M PRO-E Motherboard,"₹8,499"
202,ASRock Z690 Steel Legend Motherboard,"₹22,499"
203,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
204,Matrix MXH61 Motherboard,"₹1,976"
205,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
206,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
207,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
208,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
209,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
210,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
211,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
212,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
213,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
214,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
215,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
216,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
217,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
218,Dtech H110M4-C2H Motherboard,"₹2,999"
219,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
220,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
221,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
222,Ant Value H61MAD3 Motherboard,"₹5,499"
