,SSD,MRP
45,"ZEBRONICS ZEB SD13 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB SD13 128GB SSD,Ultra Low Power Consumption, S.M.A.R.T. Thermal Management)",₹749
46,"Crucial MX500 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT1000MX500SSD1)","₹3,500"
47,"Crucial CT500P3SSD8 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (P3 PCIe 3.0 NVMe M.2 2280)","₹2,483"
48,"Crucial BX500 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (CT1000BX500SSD1)","₹4,202"
49,"WESTERN DIGITAL WD Green SATA 480 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS480G3G0A)","₹2,119"
50,"SAMSUNG 870 Evo 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77E500BW)","₹3,709"
51,"SAMSUNG 970 EVO Plus 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V7S1T0BW)","₹6,049"
52,"WESTERN DIGITAL WD Blue NVMe SN570 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (WDS100T3B0C)","₹4,299"
53,"Consistent S6 256 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (S6 256GB)","₹1,250"
54,"ZEBRONICS 2.5 SATA SSD 256 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (ZEB-SD26)","₹1,390"
55,"Consistent CTSSD 128 GB All in One PC's, Desktop, Laptop, Network Attached Storage Internal Solid State Drive (SSD) (CT)",₹920
56,"WESTERN DIGITAL WD Blue SATA 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS500G3B0A)","₹3,029"
57,"Silicon Power P34A60 256 GB Desktop, Laptop Internal Solid State Drive (SSD) (SP256GBP34A60M28)","₹1,399"
58,"ZEBRONICS ZEB-SD52 512 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB-SD52 SSD 512GB, SATA II and SATA III Interface, QLC, Silent Operation)","₹1,899"
59,"ZEBRONICS m.2 nvme 512 GB All in One PC's Internal Solid State Drive (SSD) (MN52 m.2 NVMe (2280) SSD with 512GB Capacity, 1900MB/s Read, 1100MB/s Write)","₹2,499"
60,KITECH KTS100 2.5 Inch 128 GB Desktop Internal Solid State Drive (SSD) (KTS100),₹689
61,"Crucial CT1000P3SSD8 1000 GB Desktop, Laptop Internal Solid State Drive (SSD) (P3 PCIe 3.0 NVMe M.2 2280)","₹3,902"
62,"WESTERN DIGITAL WD Black SN770 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (WDS100T3X0E)","₹5,169"
63,"Crucial CT 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (2.5 inches 7mm Internal (CT250MX500SSD1))","₹1,896"
64,"SAMSUNG 970 EVO Plus 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V7S500BW)","₹3,299"
65,"EXPERTRONICS Pro 256 GB Laptop, All in One PC's Internal Solid State Drive (SSD) (Consistent SSD 256GB WIth Caddy 9.5MM)","₹1,440"
66,"WD SN350 240 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (WDS240G2G0C-00AJM0)","₹1,809"
