,Ram,MRP
431,Hynix 1333Mhz/10600 DDR3 4 GB PC (HMT351UBFR8C-H9 PC3 10600U),₹460
432,Hynix HYNIX DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-PB NO AA 1311),₹495
433,"Hynix 1600/12800 DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-H9 AA , DDR3 1600MHZ , 2RX8 4GB)",₹445
434,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT2K16G4DFRA266),"₹12,799"
435,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (RG06D408GX2-3600C18B),"₹10,950"
436,Crucial Basic DDR4 16 GB (Single Channel) PC DDR4 16GB (CB16GU2666 for Desktop),"₹2,600"
437,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
438,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
439,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
440,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
441,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
442,"KINGSTON DDR3 1333Mhz Desktop PC DDR3 8 GB (Dual Channel) PC (KVR1333D3N9/8G, 2Rx8 PC3-10600 CL9 240-Pin uDIMM)","₹2,695"
443,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
444,"Crucial CB4G8266 DDR4 4 GB (Dual Channel) Laptop, PC (4GB DDR4 2666MHZ SODIMM Laptop Memory CB4GS2666)",₹980
445,G.Skill Aegis DDR4 16 GB (Single Channel) PC SDRAM (F4-2666C19S-16GIS - 1*16GB 2666 MHz Desktop RAM),"₹10,399"
446,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB (Dual Channel) PC DDR (HMT451U6AFR8A-PB, DDR3 1600MHZ,2RX8)",₹466
447,Hynix ddr2 DDR2 2 GB (Dual Channel) PC SDRAM (HYMP125U64CP8-Y5),₹395
448,Crucial CT Series DDR3 4 GB (Single Channel) PC DDR3L-1600 (CT51264BD160B),₹890
449,XPG RAM DDR4 8 GB PC DDR4 (Adata GAMIX D30 8GB 3000Mhz DDR4 U-DIMM Desktop RAM),"₹1,975"
450,simtronics Simmtronics DDR3 4 GB (Single Channel) PC (DDR 3 4GB Ram),₹699
451,G.Skill Trident DDR5 32 GB (Dual Channel) PC SDRAM (F5-6000J3636F16GX2-TZ5RK - 2*16GB 6000 MHz Desktop RAM),"₹88,999"
452,simtronics 4 DDR3 4 GB (Dual Channel) PC Dasktop (Simmtronics 4GB 1333MHz DDR3 SDRAM),₹697
453,Hynix 667 MHZ DDR2 2 GB PC DDR2 (Desktop 667),₹395
454,ZEBRONICS DDR4 8GB 2666mhz DDR4 8 GB (Quad Channel) PC (ZEB-DM26G8D4),"₹1,799"
455,Crucial CT Series DDR3 8 GB (Dual Channel) PC DDR3L (CT102464BD160B),"₹1,620"
456,KINGSTON KVR1333D3N9/2G DDR3 2 GB (Single Channel) PC (KVR1333D3N9/2G 1333Mhz 2GB 1.5v Desktop RAM),₹530
457,adtaaa D30 DDR4 8 GB PC (ADATA XPG D30 3200MHZ 8GB),"₹2,345"
458,gskill Ripjaws V 3200mhz DDR4 8 GB PC (F4-3200C16S-8GVKB),"₹1,999"
459,SAMSUNG CF7 DDR2 2 GB (Dual Channel) PC (6400U-666-12-P3),₹599
460,Hynix 667MHZ DDR2 1 GB PC DDR2 (Desktop 667),₹273
461,KINGSTON Value DDR3 4 GB (Single Channel) PC (KVR16N11S8/4 1600MHz Desktop 1.5v),"₹1,700"
462,Corsair VENGEANCE LPX DDR4 16 GB PC (1 x 16GB) 3000MHz C16 Desktop RAM (CMK16GX4M1D3000C16),"₹4,399"
463,Hynix DDR3 DDR3 4 GB PC (4GB 2Rx8 Ram 1600 Mhz - 12800U),₹490
464,"Hynix 1600/12800 DDR3 4 GB PC DRAM (HMT351U6CFR8C-H9 AA 1730 , DDR3 1600MHZ , 2RX8)",₹460
465,consistant DT PC3 1600 8IC DDR3 4 GB (Single Channel) PC (21062023),₹689
466,Hynix PC4-2666V 1RX8 DDR2 8 GB (Single Channel) PC (HMA81GS6JJR8N-VK),"₹1,299"
467,Hynix 10600 DDR3 2 GB PC ddr3 (2GB DDR3),₹320
468,"EVM DDR3 1333 DDR3 8 GB (Dual Channel) PC, Server (8GB DDR3 1333 (DESKTOP RAM))","₹1,249"
469,BRYT Standard DDR3 8 GB (Dual Channel) PC DRAM (RAM DDR3 Long DIMM | 1600MHz | 240 Pins | RAM Memory for PC and Desktop),₹759
470,Hynix Desktop DDR2 2 GB PC (DDR2),₹360
471,BRYT Standard DDR4 16 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),"₹2,369"
472,simtronics 1333 DDR3 4 GB (Dual Channel) PC DESKTOP RAM 4GB DDR-3 (ram 4gb),₹683
473,simtronics 2 GB DDR3 DDR3 2 GB (Single Channel) PC (Simmtronics 2GB DDR3 1600 Desktop),₹395
474,Hynix ddr3 DDR3 8 GB PC (HMT41GU6AFR8A-PB),₹820
475,EVM DDR3 4 GB (Dual Channel) PC DRAM (EVMT4G1333U86D/ EVMT4G1333U88D),₹849
476,Crucial CT DDR4 8 GB (Dual Channel) PC Unbuffered (DDR4 2400),"₹1,540"
477,Hynix ddr3 DDR3 4 GB PC (H15201504-11),₹464
478,G.Skill Trident DDR4 16 GB (Dual Channel) PC SDRAM (F4-3600C18D-16GTZR - 2*8GB 3600 MHz Desktop RAM),"₹16,799"
479,simtronics Simmtronics 2GB DDR3 1600 Desktop DDR3 2 GB (Dual Channel) PC (Simmtronics 2GB DDR3 1600 Desktop),₹740
480,BRYT Standard DDR4 8 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),"₹1,339"
481,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZR - 2*16GB 3600 MHz Desktop RAM),"₹28,199"
482,BRYT Standard DDR4 4 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),₹819
483,simtronics 8GB DDR3 8 GB (Single Channel) PC Dasktop (8GB DDR3 Desktop 1600L),"₹1,075"
484,Crucial CT8G4DFS824A(2400MHz) DDR4 8 GB (Single Channel) PC (CT8G4DFS824A),"₹1,639"
485,"SAMSUNG 2400Mhz Desktop RAM DDR4 4 GB (Single Channel) PC (M378A5244CB0-CRC, PC4-19200)","₹1,619"
486,Crucial CT DDR4 16 GB (Single Channel) PC (CT16G4DFRA266),"₹2,690"
487,BRYT Standard DDR3 4 GB (Dual Channel) PC DRAM (RAM DDR3 Long DIMM | 1600MHz | 240 Pins | RAM Memory for PC and Desktop),₹479
488,Crucial BASIC DDR4 4 GB (Dual Channel) PC (CB4GU2666),"₹1,199"
489,HyperX HX432C16FB3/8 DDR4 8 GB (Single Channel) PC (HX432C16FB3/8),"₹2,650"
490,simtronics 1 gb ddr2 800 pc-6400 DDR2 1 GB (Single Channel) PC (Simmtronics 1 Gb Ddr-2 800 Mhz Pc 6400 For Desktop),₹299
491,Sk Hynix HMT41GU6BFR8A DDR3 8 GB (Dual Channel) PC (8GB DDR3 12800U),₹820
492,KINGSTON RAM DDR3 8 GB PC ValueRAM (KVR16N11/8),"₹2,280"
493,Crucial CB4GU2666 DDR4 4 GB (Single Channel) PC (CRUCIALDDR4-2666),₹990
494,simtronics RAM DDR2 2 GB PC SDRAM (800 DESKTOP),₹499
495,Simmtronic U-DIMM 2400MHZ DDR4 8 GB (Single Channel) PC DDR4 DESKTP / PC RAM (Desktop RAM),"₹1,499"
496,GEONIX RAM 1333Mhz DDR3 4 GB (Dual Channel) PC DDR3 (GX4GBDDR3),₹599
497,simtronics 8GB DDR3 1333 Desktop DDR3 8 GB (Single Channel) PC (Simmtronics 8 GB RAM DDR-3 1333 Mhz),"₹1,299"
498,G.Skill Ripjaws DDR4 8 GB (Single Channel) PC SDRAM (F4-3200C16S-8GVKB - 1*8GB 3200 MHz Desktop RAM),"₹6,999"
499,Corsair Vengeance LPX DDR4 4 GB PC (CMK4GX4M1A2400C16 (1 x 4GB) 2400MHz),"₹1,795"
500,TSND TRANSCEND DDR3-1333 U DIMM DDR3 4 GB (Single Channel) PC DDR3 SDRAM Memory (TS512MLK64V3N),"₹1,299"
501,HyperX FURY RGB DDR4 8 GB (Dual Channel) PC (Kingston 8GB RGB DDR4 3000 MHz),"₹3,415"
502,KINGSTON BEAST KF432C16BB/8 DDR4 8 GB (Single Channel) PC SDRAM (FURY),"₹2,290"
503,G.Skill Ripjaws DDR4 16 GB (Single Channel) PC SDRAM (F4-3600C18S-16GVK - 1*16GB 3600 MHz Desktop RAM),"₹10,199"
504,EVM DDR4 DDR4 8 GB (Quad Channel) PC (DDR4 8GB DESKTOP 2666 RAM),"₹1,699"
505,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT32G4DFD8266),"₹12,672"
506,gskill Ripjaws V 3200mhz DDR4 16 GB PC (F4-3200C16S-16GVK),"₹3,290"
507,KINGSTON KVR1333d3n9/4 DDR3 4 GB (Single Channel) PC (KVR16N11N9/4 1333MHz Desktop 1.5v),"₹1,299"
508,Hynix ddr3 DDR3 8 GB (Dual Channel) PC (ddr3),₹810
509,XPG D60G DDR4 16 GB (Dual Channel) PC (SPECTRIX D60G RGB AX4U320016G16A-DT60),"₹13,745"
510,Hynix Hynix Genuine DDR2 2 GB PC  DDR2 2 GB PC (Hynix Genuine DDR2 2 GB PC ),₹380
511,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (R016D408GX2-3600C18A),"₹10,950"
512,ADATA NA DDR4 4 GB (Single Channel) PC (AD4U2666J4G19-R),"₹2,500"
513,KINGSTON HyperX Fury DDR3 4 GB (Dual Channel) PC (HX316C10F/4),"₹1,199"
514,simtronics Simmtronics DDR2 2 GB PC NA (Desktop RAM 2GB DDR2 667 MHz (PC 5300) with 3 Year Warranty),₹549
515,SAMSUNG OEM DDR3 2 GB (Single Channel) PC (M378TP),₹498
516,Sk Hynix DDR3 DDR3 8 GB PC (8GB DDR3 DESKTOP RAM),₹825
517,KINGSTON ValueRAM 4GB 800MHz DDR2 4 GB PC (KVR800D2N6K2/2G),"₹1,600"
518,KINGSTON HyperX Fury DDR3 8 GB (Dual Channel) PC (HX316C10F/8),"₹2,149"
519,SIMMRTONICS DDR3 4GB 1600 DSKTP DDR3 4 GB (Single Channel) PC (DDR3 4GB 1600 DSKTP),₹699
520,SIMMRTONICS DDR3 4GB 1600 DSKTP DDR3 4 GB (Single Channel) PC (DDR3 4GB 1600 DSKTP),₹699
521,Hynix DESKTOP RAM PC4 -2400T DDR4 8 GB (Single Channel) PC (HMA81GU6AFR8N-UH 288-Pin Dimm Memory Module),"₹1,299"
522,Hynix ddr2 DDR2 1 GB PC (H15201504-5),₹266
523,Crucial Crucial Basic Series 2666 Mhz Desktop Ram with 10 Years Warranty DDR4 4 GB (Dual Channel) PC (CT4G4DFS8266- 4GB DDR4-2666 UDIMM),₹990
524,Crucial UDIMM DDR4 8 GB (Single Channel) PC SD RAM (CT8G4DFRA32A),"₹1,540"
525,D-tron 4GB DDR3 12800(1600Mhz) DDR3 4 GB (Dual Channel) PC Dual Channel Ram (Destop Ram/Long-DIMM (UDIMM) Unbuffered Ram For Standard & Gaming Destop PC),₹649
526,CRUSIAL 3200Mhz Crucial Notebook Memory DDR4 16 GB (Dual Channel) PC (Crucial 3200 DDR4 16 GB (Dual Channel) desktop pc (CT16G4SFRA32A)),"₹2,690"
527,ADATA 3200 DDR4 8 GB PC (DDR4 DESKTOP),"₹2,000"
528,Hynix DDR4 1RX16 PC4-2400MHZ DDR4 4 GB (Single Channel) PC (HMA851U6AFR6N-UH),₹654
529,Simmtronics DESKTOP RAM DDR4 4 GB (Single Channel) PC (3200MHz),"₹1,125"
530,wnd 12800 DDR3 4 GB (Dual Channel) PC (RAM),₹433
531,"HyperX KINGSTON FURY 3000 MHZ DDR4 8 GB (Quad Channel) PC, Mac PC (KF432C16BB/16)","₹3,680"
532,Crucial CT SERIES DDR4 8 GB (Single Channel) PC DRAM (CT8G48FRA266),"₹1,490"
533,Hynix 2666 DDR4 8 GB PC (8GB DDR4 2666 MHz Desktop),"₹1,299"
534,Crucial NA DDR4 16 GB (Single Channel) PC DRAM (CT16G4DFRA32A),"₹2,590"
535,Hynix Genuine DDR3 2 GB PC (Hynix DDR3 2GB PC RAM),₹323
536,Hynix ddr3 DDR3 4 GB (Dual Channel) PC (ddr3),₹433
537,Hynix 10600/1333 DDR3 4 GB PC (HMT351UCFR8C-H9 PC3 10600U),₹460
538,Hynix DDR3 1333 DDR3 2 GB (Dual Channel) PC (HMT125U6BFR8C-H PC3 10600U),₹322
539,Simmtronics 2133 MHZ DDR4 4 GB PC (DESKTOP RAM),"₹1,643"
540,Hynix ddr3 DDR3 4 GB (Dual Channel) PC Desktop Ram (Desktop 4GB DDR3),₹464
541,zione Desktop Ram 4GB DDR4 2400 MHz (ZION ZSPZ PC2400) DDR4 4 GB PC (2400MHz),"₹1,768"
542,Crucial CT-2400 MHz DDR4 4 GB (Single Channel) PC SDRAM (CT4G4DFS824A),₹940
543,simtronics 1333 DDR3 2 GB (Dual Channel) PC (simm tronics ddr3 desktop two gb 1333),₹438
544,Starlite DDR3PC1333S DDR3 2 GB PC (DDR3PC1333S),₹789
545,Crucial DDR4 DDR4 8 GB (Single Channel) PC (8GB DDR4 2666MHZ),"₹1,799"
546,Simmtronics DESKTOP RAM DDR3 8 GB (Single Channel) PC (1333MHz),"₹2,140"
547,simtronics DDR1 DDR 1 GB (Single Channel) PC (Simmtronics 1GB 400 MHz DDR PC 3200 Desktop RAM),₹724
548,Hynix New DDR3 2 GB PC (2GBDDR3),₹323
549,Hynix 800MHZ DDR2 2 GB (Single Channel) PC DDR2 (Desktop 800),₹384
550,adtaaa D50 DDR4 8 GB (Single Channel) PC (D50 3200MHZ),"₹4,000"
551,"Hynix 11280/1600 DDR3 4 GB PC (HMT451U6AFR8C-PB , PC3 12800U)",₹463
552,Crucial CT DDR4 16 GB (Dual Channel) PC Unbuffered (DDR4-2400 UDIMM),"₹3,750"
553,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R009D408GX2-3600C18B),"₹10,950"
554,"Starlite Gold 4GB DDR3 1600MHZ Desktop RAM , DDR3 4 GB PC (STARLITEGold)",₹928
555,Hynix 12800 DDR3 2 GB (Dual Channel) PC (hynix2gb312800),₹345
556,PremiumAV Desktop DDR 1 GB (Dual Channel) PC (MST-1847),₹599
557,GEONIX Desktop RAM DDR4 8 GB PC (8GB DDR4 2666MHz),"₹1,290"
558,DAICHI DI4GD3 DDR3 4 GB (Dual Channel) PC (DI4GD3 4 GB DDR3 DT PC3 1600 MHz (PC-12800)),₹664
559,GEONIX RAM DDR3 8 GB (Dual Channel) PC 8 GB (8) 1600 MHz DDR3 DIMM (RAM DDR3 SD RAM),₹784
560,consistant DT PC3 1333 DDR3 2 GB (Single Channel) PC (07062023),₹579
561,Crucial 4800MHz CL40 CT16G48C40U5 DDR5 16 GB (Dual Channel) PC DRAM (CT16G48C40U5),"₹5,500"
562,SAMSUNG 1600mhz Desktop 1Rx8 RAM DDR3 4 GB (Single Channel) PC (M378B5173DB0-CK0 PC3-12800U),₹900
563,Hynix ddr3 DDR3 4 GB (Dual Channel) PC (HMT351U6BFR8C-H9 PC3-10600U),₹419
564,simtronics RAM DDR3 4 GB PC SDRAM (1600 DESKTOP),₹699
565,Crucial 4800MHz CL40 CT8G48C40U5 DDR5 8 GB (Dual Channel) PC DRAM (CT8G48C40U5),"₹2,499"
566,simtronics 2400 DDR4 4 GB PC (simmtronics 4gb ddr4 2400),₹999
567,adtaaa D60G DDR4 16 GB (Dual Channel) PC (XPG D60 G),"₹5,486"
568,simtronics SIMMTRONICS DDR 64 GB PC (256GB 3D NAND SATA 2.5-inch SSD),"₹1,285"
569,Starlite DT 4GBDDR3PC1600S DDR3 4 GB (Single Channel) PC (nath1600),₹899
570,Hynix 1600/12800 DDR3 8 GB (Dual Channel) PC DDR 3 (DDR3 8GB),₹819
571,"Crucial Ballistix 3200 MHz DDR4 16 GB (Single Channel) PC, Server UDIMM (CL16 Desktop Gaming RAM RGB - Red)","₹9,187"
572,Hynix ddr2 DDR2 2 GB PC (hinix),₹366
573,SAMSUNG DDR3 10600 DDR3 4 GB PC (DDR3),"₹1,305"
574,simtronics RAM DDR2 2 GB PC SDRAM (667 DESKTOP),₹499
575,Hynix DDR3 DDR3 4 GB PC (PC1333MHZ),₹433
576,Hynix 12800 DDR3 8 GB (Single Channel) PC (8GB DDR3 PC3L-12800 Ram Desktop),₹860
577,SIMMRTONICS DDR4 8GB 2400 DESKTOP DDR4 8 GB (Single Channel) PC (DDR4 8GB 2400 DESKTOP),"₹1,525"
578,Hynix 1333 DDR3 2 GB PC (DDR3 2GB),₹307
579,Hynix 1333/PC3-10600 DDR3 2 GB PC (2g ddr3 10600u pc ram),₹325
580,wnd 5300 DDR2 2 GB PC (RAM DESKTOP),₹429
581,EXPERTRONICS PRO DDR3 8 GB (Dual Channel) PC (EXP4GB31600D),₹839
582,Hynix 667 DDR2 2 GB PC (2GB DDR2),₹366
583,AARVEX DDR3 DDR3 8 GB (Dual Channel) PC (AARVEX8GBRAMDDR3),"₹2,950"
584,Hynix NA DDR2 2 GB PC (Desktop RAM),₹395
585,Hynix 1333 DDR3 2 GB PC (H15201504-9),₹320
586,AVIONICS RAM DDR3 8 GB (Single Channel) PC ((KVR16N11S8/8-SP) (Green)),"₹1,199"
587,Hynix 2400T DDR4 8 GB PC (8GB Ddr4 2400T),"₹1,200"
588,simtronics 2GB DDR2 667 Mhz DDR2 2 GB (Single Channel) PC (2GEB DDR2 DIMM RAM 667 Mhz),₹495
589,Hynix Desktop Ram DDR3 4 GB PC SDRAM (HMT351U6CFR8C-H9),₹430
590,Simmtronics DESKTOP RAM DDR4 8 GB (Single Channel) PC (3200MHz),"₹1,599"
591,Hynix High Performance Pack of Two DDR3 8 GB (Dual Channel) PC (8GB DDR-3 Pack of 2),"₹3,321"
592,KINGSTON Valueram DDR4 16 GB (Dual Channel) PC DDR4 (KVR26N19D8/16),"₹4,435"
593,Starlite GOLD DDR4 8 GB (Single Channel) PC (8GB DDR4 ( PC2666 Gold Ram)),"₹1,849"
594,Simmtronics DESKTOP RAM DDR4 8 GB (Single Channel) PC (2133MHz),"₹2,618"
595,"HyperX 3600MHZ DDR4 8 GB PC, Server (?KF436C17BB/8)","₹3,499"
596,Crucial 8GB DDR4-2400 PC4-19200 CL-17 UDIMM RAM DDR4 8 GB (Dual Channel) PC SDRAM (13.4 x 0.1 x 3.1 cm Item model number	CT8G4DFS824A),"₹1,691"
597,Hynix Hynix Genuine DDR3 4 GB PC  DDR3 4 GB PC (Hynix Genuine DDR3 4 GB PC ),₹460
598,Hynix ddr2 553-664 DDR2 1 GB (Single Channel) PC (Hymp64cp8),₹266
599,Hynix ddr2 DDR2 2 GB (Dual Channel) PC sdram (YMP),₹395
600,Hynix ddr3 DDR3 8 GB PC (ddr3 DDR3 8 GB (Dual Channel) PC (ddr3)),₹760
601,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB PC DDR3 RAM (HMT351U6CFR8C-PB , DDR3 1600MHZ , 2RX8)",₹425
602,"HyperX NA DDR3 8 GB (Dual Channel) Laptop, PC (Fury 8GB DDR3 1866MHz CL10 DIMM Desktop Memory (HX318C10F/8))","₹1,285"
603,XPG RAM DDR4 16 GB PC DDR4 (GAMIX D30 DDR4 16GB (1x16GB) 3200MHz U-DIMM Desktop Memory - AX4U3200316G16A-SR30),"₹3,290"
604,ADATA XPG GAMMIX D30 DDR4 8 GB (Single Channel) PC DDR4 (XPG GAMMIX D30 8GB 3200MHZ XMP 2 READY),"₹1,975"
605,XPG GAMMIX D30 3200mhz DDR4 8 GB PC SD RAM (AX4U320038G16A-SR30),"₹1,939"
606,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3600MHz C18 Desktop RAM (CMK16GX4M1Z3600C18),"₹3,979"
607,Hynix 1600MHZ DDR3 8 GB (Dual Channel) PC (8GB 2Rx8 PC3L-12800U-11-13-F3),₹780
608,Crucial CT DDR4 8 GB (Single Channel) PC DRAM (CT8G4DFRA266),"₹1,490"
609,Corsair Vengeance RGB RS 8 GB 3200MHz C16 Memory (Black) DDR4 8 GB PC SDRAM (CMG8GX4M1E3200C16),"₹2,845"
610,GEONIX RAM DDR3 8 GB (Dual Channel) PC SD RAM (GX 8GB DDR3 1600 MHZ),₹784
611,Corsair Vengeance LPX DDR4 8 GB PC DDR4 SDRAM (CMK8GX4M1E3200C16 (1 x 8GB) 3200MHz),"₹2,195"
612,Simmtronic Desktop RAM U-DIMM DDR3 8 GB (Single Channel) PC 8GB DDR3L Desktop RAM (8GB Desktop RAM),"₹1,049"
613,Crucial 3200Mhz Ballistix Performance Desktop & Gaming Memory (Black) (No RGB) with 10 Years Warranty DDR4 8 GB (Dual Channel) PC DRAM family - Ballistix (BL8G32C16U4B),"₹2,071"
614,Hynix 2 DDR2 2 GB (Dual Channel) PC (HYMD2GB),₹395
615,Corsair Vengeance RGB RS 16 GB 3200MHz C16 Memory (Black) DDR4 16 GB PC SDRAM (CMG16GX4M1E3200C16),"₹4,270"
616,Corsair VENGEANCE LPX DDR4 8 GB PC (8GBx1) 3200MHz CL16 Desktop RAM (CMK8GX4M1E3200C16),"₹1,999"
617,"Hynix DDR3 1333Mhz Desktop RAM DDR3 2 GB (Single Channel) PC (HMT325U6BFR8C-H9 , PC3 10600U)",₹308
618,XPG ADATA SPECTRIX D60G DDR4 RGB 16GB (2x8GB) 3200MHz U-DIMM Desktop Memory DDR4 8 GB (Dual Channel) PC GAMING RGB RAM (AX4U320038G16-DT60),"₹5,490"
619,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZN - 2*16GB 3600 MHz Desktop RAM),"₹33,599"
620,GEONIX RAM DDR3 4 GB (Dual Channel) PC (GX 4GB DDR3 1600 MHZ),₹499
621,XPG SPECTRIX DDR4 16 GB (Single Channel) PC (D60G 3200Mhz),"₹4,969"
622,ADATA SPECTRIX D60G DDR4 16 GB (Single Channel) PC SDRAM (16 GB (2x8GB) 3200 MHz AX4U32008G16A-DT60 Desktop RAM),"₹13,999"
623,simtronics PC-6400 DDR2 2 GB (Single Channel) PC (Simmtronics 2 Gb Dddr-2 800 Mhz Pc 6400 For Desktop),₹490
624,Hynix 1600MHz DDR3 8 GB PC (PC3-12800),₹799
625,Crucial Basic DDR4 4 GB (Single Channel) PC SDRAM (Basics Memory Module for Desktop),₹890
626,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3200MHz C16 Desktop RAM (CMK16GX4M1E3200C16),"₹3,600"
627,"simtronics 1600MHZ DDR3 8 GB (Single Channel) PC, Server (8GB DDR3 1600MHZ)","₹1,075"
628,G.Skill Ripjaws DDR4 32 GB (Single Channel) PC SDRAM (F4-3600C18S-32GVK - 1*32GB 3600 MHz Desktop RAM),"₹28,699"
629,simtronics 4 GB DDR3 1333 Desktop DDR3 4 GB PC (Simmtronics 4 Gb Ddr-3 Ram 1333 Mhz Pc 10600 For Desktop),₹680
630,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG26D408GX2-3600C18A),"₹11,361"
631,Hynix 1333Mhz/10600 DDR3 4 GB PC (HMT351UBFR8C-H9 PC3 10600U),₹460
632,Hynix HYNIX DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-PB NO AA 1311),₹495
633,"Hynix 1600/12800 DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-H9 AA , DDR3 1600MHZ , 2RX8 4GB)",₹445
634,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT2K16G4DFRA266),"₹12,799"
635,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (RG06D408GX2-3600C18B),"₹10,950"
636,Crucial Basic DDR4 16 GB (Single Channel) PC DDR4 16GB (CB16GU2666 for Desktop),"₹2,600"
637,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
638,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
639,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
640,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
641,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
642,"KINGSTON DDR3 1333Mhz Desktop PC DDR3 8 GB (Dual Channel) PC (KVR1333D3N9/8G, 2Rx8 PC3-10600 CL9 240-Pin uDIMM)","₹2,695"
643,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
644,"Crucial CB4G8266 DDR4 4 GB (Dual Channel) Laptop, PC (4GB DDR4 2666MHZ SODIMM Laptop Memory CB4GS2666)",₹980
645,G.Skill Aegis DDR4 16 GB (Single Channel) PC SDRAM (F4-2666C19S-16GIS - 1*16GB 2666 MHz Desktop RAM),"₹10,399"
646,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB (Dual Channel) PC DDR (HMT451U6AFR8A-PB, DDR3 1600MHZ,2RX8)",₹466
647,Hynix ddr2 DDR2 2 GB (Dual Channel) PC SDRAM (HYMP125U64CP8-Y5),₹395
648,Crucial CT Series DDR3 4 GB (Single Channel) PC DDR3L-1600 (CT51264BD160B),₹890
649,XPG RAM DDR4 8 GB PC DDR4 (Adata GAMIX D30 8GB 3000Mhz DDR4 U-DIMM Desktop RAM),"₹1,975"
650,simtronics Simmtronics DDR3 4 GB (Single Channel) PC (DDR 3 4GB Ram),₹699
651,G.Skill Trident DDR5 32 GB (Dual Channel) PC SDRAM (F5-6000J3636F16GX2-TZ5RK - 2*16GB 6000 MHz Desktop RAM),"₹88,999"
652,simtronics 4 DDR3 4 GB (Dual Channel) PC Dasktop (Simmtronics 4GB 1333MHz DDR3 SDRAM),₹697
653,Hynix 667 MHZ DDR2 2 GB PC DDR2 (Desktop 667),₹395
654,ZEBRONICS DDR4 8GB 2666mhz DDR4 8 GB (Quad Channel) PC (ZEB-DM26G8D4),"₹1,799"
655,Crucial CT Series DDR3 8 GB (Dual Channel) PC DDR3L (CT102464BD160B),"₹1,620"
656,KINGSTON KVR1333D3N9/2G DDR3 2 GB (Single Channel) PC (KVR1333D3N9/2G 1333Mhz 2GB 1.5v Desktop RAM),₹530
657,adtaaa D30 DDR4 8 GB PC (ADATA XPG D30 3200MHZ 8GB),"₹2,345"
658,gskill Ripjaws V 3200mhz DDR4 8 GB PC (F4-3200C16S-8GVKB),"₹1,999"
659,SAMSUNG CF7 DDR2 2 GB (Dual Channel) PC (6400U-666-12-P3),₹599
660,Hynix 667MHZ DDR2 1 GB PC DDR2 (Desktop 667),₹273
